	OBJECTID	NatlDBNum	ConfCode	SpeciesID	ComName	Genus	Species	County	State	WaterBody	LatAcc	LongAcc	ObsDay	ObsStatus	SpeciesCategory	x	y	spatialReference	Date	lat	lon
229	7527	NE-2014-1174225	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	estimate	estimate	10	Moderate Decomposition	Humpback Whale	-7738485.721985201	5243575.061361635	102100	2014-JAN-10	42.549000000000035	-69.51599999999996
230	24586	NE-2001-1032916	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			1	Moderate Decomposition	Humpback Whale	-7720006.686513518	5276523.304287943	102100	2001-AUG-01	42.766666670000056	-69.34999999999997
231	24673	NE-2002-1035832	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			1	Moderate Decomposition	Humpback Whale	-7782716.665955994	5261624.283886058	102100	2002-MAY-01	42.66833333000005	-69.91333332999993
232	16618	NE-2007-1067299	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Essex	MA	Massachusetts Bay			13	Alive	Humpback Whale	-7858996.863133273	5256591.225192269	102100	2007-APR-18	42.635080000000066	-70.59856999999994
233	25342	NE-2000-1037117	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Essex	MA	Atlantic Ocean			1	Advanced Decomposition	Humpback Whale	-7861697.844673823	5262961.706855196	102100	2000-NOV-01	42.67716667000008	-70.62283332999995
234	3385	NE-2018-1206807	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Rockingham	NH		actual	actual	29	Alive	Humpback Whale	-7879071.106908026	5295790.679213519	102100	2018-AUG-29	42.89360000000004	-70.77889999999995
235	6229	NE-2016-1189874	Confirmed - High	7	Whale, humpback	Megaptera	novaeangliae	Rockingham	NH	Gulf of Maine	actual	actual	27	Moderate Decomposition	Humpback Whale	-7875152.660832101	5312276.272293667	102100	2016-JUN-27	43.00200000000006	-70.74369999999993
236	10878	NE-2012-1145515	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	20	Moderate Decomposition	Humpback Whale	-7550723.1368641835	5313492.550448727	102100	2012-MAY-20	43.00999000000007	-67.82929999999993
237	22995	NE-2002-1036131	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Cumberland	ME	Atlantic Ocean			7	Moderate Decomposition	Humpback Whale	-7818936.317981498	5394471.036314	102100	2002-JUN-07	43.539616670000036	-70.23869999999994
238	5815	NE-2016-1192637	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Lincoln	ME	Atlantic Ocean	estimate	estimate	6	Advanced Decomposition	Humpback Whale	-7754102.733348588	5431859.051323161	102100	2016-OCT-06	43.782591000000025	-69.65628999999996
239	22483	NE-2003-1034440	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Lincoln	ME	Muscongus Bay			30	Moderate Decomposition	Humpback Whale	-7733365.025408711	5436857.499067632	102100	2003-SEP-30	43.81500000000005	-69.46999999999997
240	10839	NE-2012-1146055	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Knox	ME	Atlantic Ocean	estimate	estimate	1	Mummified/Skeletal	Humpback Whale	-7694073.030021369	5464124.252544436	102100	2012-AUG-01	43.99148300000008	-69.11703399999993
241	21963	NE-2003-1052539	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			16	Moderate Decomposition	Humpback Whale	-7701824.540123778	5366163.519200145	102100	2003-JUN-16	43.355000000000075	-69.18666699999994
242	14351	NE-2009-1100693	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	ME	Atlantic Ocean	estimate		20	Advanced Decomposition	Humpback Whale	-7681968.816509456	5436317.562622411	102100	2009-JUL-20	43.81150000000007	-69.00829999999996
243	19475	NE-2005-1046899	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean	actual	actual	21	Moderate Decomposition	Humpback Whale	-7653214.992037552	5401186.79983114	102100	2005-JUL-21	43.58333300000004	-68.74999999999994
244	10878	NE-2012-1145515	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	MA	Atlantic Ocean	actual	actual	20	Moderate Decomposition	Humpback Whale	-7550723.1368641835	5313492.550448727	102100	2012-MAY-20	43.00999000000007	-67.82929999999993
245	21966	NE-2003-1052531	Confirmed - Medium Report	7	Whale, humpback	Megaptera	novaeangliae	Unknown	EZ	Atlantic Ocean			24	Mummified/Skeletal	Humpback Whale	-7321668.479064753	5293724.423322171	102100	2003-AUG-24	42.88000000000005	-65.77166699999998
