,OBJECTID,NatlDBNum,ConfCode,SpeciesID,ComName,Genus,Species,County,State,WaterBody,LatAcc,LongAcc,ObsDay,ObsStatus,SpeciesCategory,x,y,spatialReference,Date,lat,lon,Year,Carcass Condition,Country,Field Number,Month,Sex
234,4306.0,NE-2017-1204069,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,eez,NY,Atlantic Ocean,actual,actual,20.0,Fresh Dead,Humpback Whale,-8067323.497788533,4959385.886084273,102100.0,2017-OCT-20,40.64000000000004,-72.46999999999997,20171020,,,,,
235,5127.0,NE-2017-1198380,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,estimate,actual,31.0,Mummified/Skeletal,Humpback Whale,-8033549.164281853,5040333.179862614,102100.0,2017-OCT-31,41.18950000000006,-72.16659999999996,20171031,,,,,
236,4212.0,NE-2017-1221139,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,estimate,actual,8.0,Advanced Decomposition,Humpback Whale,-8098627.429155526,4983258.518477169,102100.0,2017-NOV-08,40.80253100000005,-72.75120799999996,20171108,,,,,
237,4313.0,NE-2017-1203370,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,virginia beach,VA,Chesapeake Bay,estimate,estimate,26.0,Fresh Dead,Humpback Whale,-8469223.149706246,4426999.567613949,102100.0,2017-NOV-26,36.91309000000006,-76.08032599999994,20171126,,,,,
238,4305.0,NE-2017-1204070,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,eez,MA,Atlantic Ocean,actual,actual,19.0,Moderate Decomposition,Humpback Whale,-7785592.4569457155,4964570.219129107,102100.0,2017-DEC-19,40.67533000000003,-69.93916699999993,20171219,,,,,
239,4930.0,NE-2017-1199264,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nassau,NY,Atlantic Ocean,actual,actual,26.0,Moderate Decomposition,Humpback Whale,-8204557.275482556,4951091.380107695,102100.0,2017-DEC-26,40.58343600000007,-73.70279199999997,20171226,,,,,
240,3849.0,NE-2018-1203378,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,northampton,VA,Chesapeake Bay,estimate,estimate,7.0,Moderate Decomposition,Humpback Whale,-8456872.252202732,4456428.784993617,102100.0,2018-JAN-07,37.124171000000054,-75.96937599999994,20180107,,,,,
241,4190.0,NE-2018-1199686,Confirmed - Minimum,7.0,"Whale, humpback",Megaptera,novaeangliae,virginia beach,VA,Atlantic Ocean,actual,actual,22.0,Moderate Decomposition,Humpback Whale,-8348961.809495511,4396909.996782087,102100.0,2018-JAN-22,36.69666700000004,-74.99999999999994,20180122,,,,,
242,3851.0,NE-2018-1203376,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,accomack,VA,Atlantic Ocean,estimate,estimate,11.0,Moderate Decomposition,Humpback Whale,-8392711.705211157,4558702.116961237,102100.0,2018-FEB-11,37.853154000000075,-75.39301199999993,20180211,,,,,
243,4187.0,NE-2018-1200521,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,queens,NY,Atlantic Ocean,actual,actual,12.0,Advanced Decomposition,Humpback Whale,-8230872.980467099,4945169.101546656,102100.0,2018-FEB-12,40.543020000000055,-73.93918999999994,20180212,,,,,
244,3033.0,NE-2018-1211626,Confirmed - Minimum,7.0,"Whale, humpback",Megaptera,novaeangliae,eez,NJ,,,,28.0,Moderate Decomposition,Humpback Whale,-8121493.46557183,4777885.721329961,102100.0,2018-FEB-28,39.39135400000004,-72.95661709999995,20180228,,,,,
245,3032.0,NE-2018-1211627,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,floater,MA,,,,1.0,Moderate Decomposition,Humpback Whale,-7506674.014357287,5178341.536828044,102100.0,2018-MAR-01,42.115800000000036,-67.43359999999996,20180301,,,,,
246,3948.0,NE-2018-1202902,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,washington,ME,Atlantic Ocean,actual,actual,17.0,Moderate Decomposition,Humpback Whale,-7461127.533379728,5585971.534556655,102100.0,2018-APR-17,44.77374000000003,-67.02444899999993,20180417,,,,,
247,3892.0,NE-2018-1203102,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,monmouth,NJ,Atlantic Ocean,actual,actual,22.0,Moderate Decomposition,Humpback Whale,-8217261.612369338,4912095.059766026,102100.0,2018-APR-22,40.316861000000074,-73.81691699999999,20180422,,,,,
248,4031.0,NE-2018-1202582,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,monmouth,NJ,,actual,actual,5.0,Fresh Dead,Humpback Whale,-8238808.390368302,4934013.289022442,102100.0,2018-MAY-05,40.46682200000004,-74.01047499999999,20180505,,,,,
249,3900.0,NE-2018-1203067,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nassau,NY,Atlantic Ocean,actual,actual,18.0,Moderate Decomposition,Humpback Whale,-8201446.786270805,4951112.926990734,102100.0,2018-MAY-18,40.58358300000003,-73.67484999999994,20180518,,,,,
250,13595.0,NE-2010-1116290,Confirmed - Medium,7.0,"Whale, humpback",Megaptera,novaeangliae,norfolk,MA,Massachusetts Bay,estimate,estimate,26.0,Advanced Decomposition,Humpback Whale,-7884202.935433598,5200607.7653212035,102100.0,2018-MAY-18,42.264000000000074,-70.82499999999997,20180518,,,,,
251,3027.0,NE-2018-1211639,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nantucket,MA,,,,22.0,Moderate Decomposition,Humpback Whale,-7839194.238916058,5014181.160031437,102100.0,2018-MAY-22,41.01247000000006,-70.42067999999993,20180522,,,,,
252,3027.0,NE-2018-1211639,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nantucket,MA,,,,22.0,Moderate Decomposition,Humpback Whale,-7839194.238916058,5014181.160031437,102100.0,2018-MAY-22,41.01247000000006,-70.42067999999993,20180522,,,,,
253,3842.0,NE-2018-1203388,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,27.0,Advanced Decomposition,Humpback Whale,-8141239.639675264,4960618.255437469,102100.0,2018-MAY-27,40.64840000000005,-73.13399999999994,20180527,,,,,
254,3659.0,NE-2018-1204702,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,accomack,VA,Atlantic Ocean,actual,actual,31.0,Mummified/Skeletal,Humpback Whale,-8408647.980874144,4542078.797454728,102100.0,2018-MAY-31,37.73515100000002,-75.53616999999997,20180531,,,,,
255,3680.0,NE-2018-1204155,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,queens,NY,Atlantic Ocean,actual,actual,1.0,Advanced Decomposition,Humpback Whale,-8226799.800298973,4947173.272967209,102100.0,2018-JUN-01,40.556700000000035,-73.90259999999994,20180601,,,,,
256,3555.0,NE-2018-1205708,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nassau,NY,Atlantic Ocean,actual,actual,14.0,Moderate Decomposition,Humpback Whale,-8208253.973132813,4952542.162737167,102100.0,2018-JUN-14,40.59333300000004,-73.73599999999993,20180614,,,,,
257,3276.0,NE-2018-1207197,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,nantucket,MA,,estimate,estimate,14.0,Alive,Humpback Whale,-7802851.853812374,5048343.1285054935,102100.0,2018-JUL-14,41.243626000000056,-70.09421079999997,20180714,,,,,
258,3673.0,NE-2018-1204333,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,26.0,Advanced Decomposition,Humpback Whale,-8019300.269460314,5011928.673258705,102100.0,2018-JUL-26,40.997200000000085,-72.03859999999997,20180726,,,,,
259,3569.0,NE-2018-1205657,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,northampton,VA,Chesapeake Bay,actual,actual,28.0,Alive,Humpback Whale,-8464787.84723457,4443138.210961166,102100.0,2018-JUL-28,37.02891700000003,-76.04048299999994,20180728,,,,,
260,2201.0,NE-2018-1221142,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,28.0,Advanced Decomposition,Humpback Whale,-8146939.976840313,4958961.488113254,102100.0,2018-AUG-28,40.63710700000007,-73.18520699999993,20180828,,,,,
261,3385.0,NE-2018-1206807,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,rockingham,NH,,actual,actual,29.0,Alive,Humpback Whale,-7879071.106908026,5295790.679213519,102100.0,2018-AUG-29,42.89360000000004,-70.77889999999995,20180829,,,,,
262,2218.0,NE-2018-1220630,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,3.0,Alive,Humpback Whale,-8085417.59046105,4978793.619834687,102100.0,2018-SEP-03,40.77216300000003,-72.63254199999994,20180903,,,,,
263,3539.0,NE-2018-1205822,Confirmed - High,7.0,"Whale, humpback",Megaptera,novaeangliae,norfolk,MA,Massachusetts Bay,actual,actual,7.0,Moderate Decomposition,Humpback Whale,-7882129.053320117,5199864.715652719,102100.0,2018-SEP-07,42.25906000000005,-70.80636999999996,20180907,,,,,
264,3538.0,NE-2018-1205832,Confirmed - High,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,MA,Massachusetts Bay,actual,actual,17.0,Moderate Decomposition,Humpback Whale,-7871911.705177146,5217541.616256076,102100.0,2018-SEP-17,42.376476000000025,-70.71458599999994,20180917,,,,,
265,3520.0,NE-2018-1206103,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,hancock,ME,Atlantic Ocean,actual,actual,29.0,Advanced Decomposition,Humpback Whale,-7610952.54735789,5482497.801094344,102100.0,2018-SEP-29,44.11011000000008,-68.37034999999999,20180929,,,,,
266,3358.0,NE-2018-1206983,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,sussex,DE,Atlantic Ocean,actual,actual,16.0,Advanced Decomposition,Humpback Whale,-8359489.627698306,4693792.746843234,102100.0,2018-DEC-16,38.80510420000008,-75.09457299999997,20181216,,,,,
267,2149.0,NE-2019-1209072,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,virginia beach,VA,Atlantic Ocean,actual,actual,17.0,Moderate Decomposition,Humpback Whale,-8449605.761121714,4391584.6358493855,102100.0,2019-FEB-17,36.65830000000005,-75.90409999999997,20190217,,,,,
268,1141.0,NE-2019-1219059,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,virginia beach,VA,Atlantic Ocean,actual,actual,13.0,Moderate Decomposition,Humpback Whale,-8438573.999584097,4385963.318073248,102100.0,2019-MAR-13,36.61778000000003,-75.80499999999994,20190313,,,,,
269,2067.0,NE-2019-1210244,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,accomack,VA,Atlantic Ocean,actual,actual,15.0,Moderate Decomposition,Humpback Whale,-8424453.122176971,4507053.13625376,102100.0,2019-MAR-15,37.48590000000008,-75.67814999999995,20190315,,,,,
270,1142.0,NE-2019-1219058,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,northampton,VA,Atlantic Ocean,estimate,estimate,14.0,Moderate Decomposition,Humpback Whale,-8441187.447269453,4467167.737994574,102100.0,2019-APR-14,37.201050000000066,-75.82847699999996,20190414,,,,,
271,1892.0,NE-2019-1212942,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,worcester,MD,,actual,actual,2.0,Alive,Humpback Whale,-8359166.0965226265,4628198.554428361,102100.0,2019-MAY-02,38.34444000000008,-75.09166666999994,20190502,,,,,
272,1376.0,NE-2019-1218288,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,,actual,actual,4.0,Moderate Decomposition,Humpback Whale,-7843416.58720185,5204980.001828356,102100.0,2019-MAY-04,42.293060000000025,-70.45860999999996,20190504,,,,,
273,827.0,NE-2019-1220232,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,actual,actual,5.0,Moderate Decomposition,Humpback Whale,-8097491.079793512,4978122.914619034,102100.0,2019-MAY-05,40.767600000000066,-72.74099999999999,20190505,,,,,
274,623.0,NE-2019-1226590,Confirmed - Medium Report,7.0,"Whale, humpback",Megaptera,novaeangliae,floater,MA,Atlantic Ocean,estimate,estimate,29.0,Moderate Decomposition,Humpback Whale,-7799607.246878118,5236730.792384137,102100.0,2019-MAY-29,42.503689000000065,-70.06506399999995,20190529,,,,,
