ObjectID,Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County,Field Number
43,"May 4, 2017",2017,May,38.734638,-75.07848,"Whale, humpback",Male,Moderate Decomposition,USA,DE,Sussex,MERR-ST1580Mn
44,"May 17, 2017",2017,May,36.8724,-75.4349,"Whale, humpback",Unk,Moderate Decomposition,USA,Va,EEZ,VAQS20171049
45,"June 3, 2017",2017,Jun,39.6293,-73.9746,"Whale, humpback",Unk,Fresh Dead,USA,NJ,Ocean,MMSC-17-092
46,"June 15, 2017",2017,Jun,41.4545,-71.40061,"Whale, humpback",Female,Advanced Decomposition,USA,RI,Newport,SxMn1746
47,"June 18, 2017",2017,Jun,41.59985,-69.9836,"Whale, humpback",Male,Fresh Dead,USA,MA,Barnstable,IFAW17-270Mn
48,"June 21, 2017",2017,Jun,41.624086,-69.965721,"Whale, humpback",Male,Fresh Dead,USA,MA,Barnstable,IFAW17-274Mn
49,"July 6, 2017",2017,Jul,41.12505,-70.561933,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,EEZ,NMFSGAR070617Mn
50,"July 27, 2017",2017,Jul,41.765317,-69.85965,"Whale, humpback",Female,Moderate Decomposition,USA,MA,Barnstable,IFAW17-317Mn
51,"August 8, 2017",2017,Aug,41.244043,-70.060549,"Whale, humpback",Unk,Advanced Decomposition,USA,MA,Nantucket,NMFSGAR080817Mn
52,"August 17, 2017",2017,Aug,41.6055556,-67.6105555555555,"Whale, humpback",Unk,Advanced Decomposition,USA,MA ,EEZ,NMFSGAR081717Mn3
53,"September 5, 2017",2017,Sep,41.1519889,-71.5522528,"Whale, humpback",Male,Moderate Decomposition,USA,RI,Washington,SYMn1755
54,"October 1, 2017",2017,Oct,41.1728,-71.5543,"Whale, humpback",Female,Advanced Decomposition,USA,RI,Washington,SXMn1758
55,"October 19, 2017",2017,Oct,41.1895,-72.1666,"Whale, humpback",Female,Advanced Decomposition,USA,NY,Suffolk,AMCS117Mn2017
56,"October 20, 2017",2017,Oct,40.64,-72.47,"Whale, humpback",Unk,Fresh Dead,USA,NY,EEZ,NMFSGAR102017Mn
57,"October 31, 2017",2017,Oct,41.1895,-72.1666,"Whale, humpback",Unk,Mummified/Skeletal Remains,USA,NY,Suffolk,AMCS121Mn2017
58,"November 26, 2017",2017,Nov,36.91309,-76.080326,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20171090
59,"December 19, 2017",2017,Dec,40.6811111,-69.9430555555555,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR121917Mn
60,"December 26, 2017",2017,Dec,40.583436,-73.702792,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Nassau,AMCS154Mn2017
61,"January 7, 2018",2018,Jan,37.124171,-75.096376,"Whale, humpback",Male,Moderate Decomposition,USA,VA,Northampton,VAQS20181002
62,"January 22, 2018",2018,Jan,36.696667,-75,"Whale, humpback",Unk,Moderate Decomposition,USA,VA,Virginia Beach,VAQS20181006
63,"January 28, 2018",2018,Jan,30.5997,-81.4422,"Whale, humpback",Male,Advanced Decomposition,USA,FL,Nassau,MnNEFL1802
64,"February 5, 2018",2018,Feb,34.60827,-76.52822,"Whale, humpback",Male,Advanced Decomposition,USA,NC,Carteret,CALO18-05
65,"February 11, 2018",2018,Feb,37.853154,-75.393012,"Whale, humpback",Female,Moderate Decomposition,USA,VA,Accomack,VAQS20181007
66,"February 12, 2018",2018,Feb,40.54302,-73.93919,"Whale, humpback",Female,Moderate Decomposition,USA,NY,Queens,AMCS06Mn2018
67,"February 14, 2018",2018,Feb,29.479739,-81.12652,"Whale, humpback",Unk,Mummified/Skeletal Remains,USA,FL,Flager,GACFS-18-05-Mn
68,"February 24, 2018",2018,Feb,30.87763,-80.89457,"Whale, humpback",Unk,Fresh Dead,USA,GA,EEZ,GA2018008
69,"February 28, 2018",2018,Feb,36.308458,-75.431021,"Whale, humpback",Female,Moderate Decomposition,USA,NC,Currituck,NCRU20180228Mn
70,"February 28, 2018",2018,Feb,39.391354,-72.9566171,"Whale, humpback",Unk,Unknown,USA,NY,EEZ,NMFSGAR022818Mn
71,"March 1, 2018",2018,Mar,42.1158333,-67.4336111111111,"Whale, humpback",Unk,Moderate Decomposition,USA,MA,EEZ,NMFSGAR030118Mn
72,"April 17, 2018",2018,Apr,44.77374,-67.024449,"Whale, humpback",Female,Advanced Decomposition,USA,ME,Washington,COA180417Mn 
73,"May 5, 2018",2018,May,40.4674,-74.0104,"Whale, humpback",Male,Moderate Decomposition,USA,NJ,Monmouth,MMSC-18-104_AMCS53Mn2018
