Obs_Date,Year,Month,lat,lon,ComName,Carcass Condition,State,County
07/28/2003,2003,Jul,41.455,-67.6433333299999,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/28/2003,2003,Jul,41.5716666700001,-66.86166667,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/28/2003,2003,Jul,41.66,-66.32833333,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/28/2003,2003,Jul,41.79366667,-66.4281666699999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/29/2003,2003,Jul,41.965,-66.76333333,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/30/2003,2003,Jul,43.15,-65.51666667,"Whale, humpback",Condition Unknown,EZ,Unknown
07/30/2003,2003,Jul,41.92166667,-66.5383333299999,"Whale, humpback",Fresh Dead,EZ,Unknown
07/31/2003,2003,Jul,43.04466667,-65.9575,"Whale, humpback",Condition Unknown,EZ,Unknown
08/09/2003,2003,Aug,44.4675,-67.57166667,"Whale, humpback",Advanced Decomposition,ME,Washington
08/09/2003,2003,Aug,44.4675,-67.57166667,"Whale, humpback",Advanced Decomposition,ME,Washington
08/15/2003,2003,Aug,44.1991666700001,-67.8413333299999,"Whale, humpback",Moderate Decomposition,ME,Hancock
08/24/2003,2003,Aug,42.8800000000001,-65.771667,"Whale, humpback",Mummified/Skeletal,EZ,Unknown
09/30/2003,2003,Sep,43.815,-69.47,"Whale, humpback",Moderate Decomposition,ME,Lincoln
04/20/2004,2004,Apr,40.81217,-72.57796,"Whale, humpback",Moderate Decomposition,NY,Suffolk
05/12/2004,2004,May,41.3484833300001,-70.5289,"Whale, humpback",Advanced Decomposition,MA,Dukes
05/20/2004,2004,May,41.4,-70.9,"Whale, humpback",Advanced Decomposition,RI,Dukes
05/20/2004,2004,May,41.4,-70.9,"Whale, humpback",Advanced Decomposition,RI,Dukes
07/06/2004,2004,Jul,41.4563333300001,-71.3128333299999,"Whale, humpback",Condition Unknown,RI,Newport
08/10/2004,2004,Aug,41.2716666700001,-66.9233333299999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
12/11/2004,2004,Dec,41.96016667,-69.3268333299999,"Whale, humpback",Moderate Decomposition,MA,Barnstable
12/15/2004,2004,Dec,41.8313333300001,-68.8485,"Whale, humpback",Fresh Dead,EZ,Unknown
12/19/2004,2004,Dec,38.7925000000001,-75.0882999999999,"Whale, humpback",Moderate Decomposition,DE,Sussex
06/14/2005,2005,Jun,38.3100000000001,-74.9716999999999,"Whale, humpback",Fresh Dead,MD,Worcester
07/01/2005,2005,Jul,37.7647200000001,-75.5400299999999,"Whale, humpback",Advanced Decomposition,VA,Accomack
07/12/2005,2005,Jul,41.283333,-68.616667,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/21/2005,2005,Jul,43.583333,-68.75,"Whale, humpback",Moderate Decomposition,EZ,Unknown
09/03/2005,2005,Sep,44.4690000000001,-67.7343,"Whale, humpback",Advanced Decomposition,ME,Washington
10/01/2005,2005,Oct,41.6666670000001,-66.9,"Whale, humpback",Advanced Decomposition,EZ,Unknown
03/17/2006,2006,Mar,36.8375,-76.003,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach (City)
04/14/2006,2006,Apr,40.4,-69.4843999999999,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/10/2006,2006,Jul,41.955,-67.291666,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/10/2006,2006,Jul,41.716666,-67.099999,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/20/2006,2006,Jul,44.16,-67.8519,"Whale, humpback",Advanced Decomposition,ME,Hancock
08/01/2006,2006,Aug,41.4200000000001,-71.1899999999999,"Whale, humpback",Fresh Dead,EZ,Unknown
08/05/2006,2006,Aug,36.7301400000001,-75.93729,"Whale, humpback",Alive,VA,Virginia Beach (City)
08/21/2006,2006,Aug,41.6303330000001,-66.970333,"Whale, humpback",Moderate Decomposition,EZ,Unknown
08/22/2006,2006,Aug,41.7500000000001,-66.8166659999999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
09/06/2006,2006,Sep,42.0650000000001,-68.2516659999999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
09/22/2006,2006,Sep,41.9183330000001,-67.019999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
09/26/2006,2006,Sep,41.21,-70.1199999999999,"Whale, humpback",Advanced Decomposition,MA,Nantucket
09/27/2006,2006,Sep,38.9712850000001,-74.82645,"Whale, humpback",Advanced Decomposition,NJ,Cape May
10/15/2006,2006,Oct,38.7754,-75.0841,"Whale, humpback",Advanced Decomposition,DE,Sussex
11/21/2006,2006,Nov,41.0666660000001,-66.9333329999999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
11/26/2006,2006,Nov,41.333333,-69.166666,"Whale, humpback",Moderate Decomposition,EZ,Unknown
11/26/2006,2006,Nov,41.333333,-69.166666,"Whale, humpback",Moderate Decomposition,EZ,Unknown
04/18/2007,2007,Apr,42.6350800000001,-70.5985699999999,"Whale, humpback",Alive,MA,Essex
05/10/2007,2007,May,37.6104740000001,-75.45975,"Whale, humpback",Advanced Decomposition,VA,Eez
05/30/2007,2007,May,41.5583300000001,-69.02,"Whale, humpback",Moderate Decomposition,EZ,Unknown
06/24/2007,2007,Jun,42.1666000000001,-70.2393,"Whale, humpback",Moderate Decomposition,MA,Barnstable
07/02/2007,2007,Jul,42.1833300000001,-67.76667,"Whale, humpback",Condition Unknown,EZ,Unknown
07/03/2007,2007,Jul,40.5500000000001,-70.76667,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/24/2007,2007,Jul,41.7333300000001,-67.2,"Whale, humpback",Advanced Decomposition,EZ,Unknown
07/25/2007,2007,Jul,44.343333,-67.7499999999999,"Whale, humpback",Moderate Decomposition,ME,Washington
08/11/2007,2007,Aug,41.8993,-69.9472,"Whale, humpback",Moderate Decomposition,MA,Barnstable
08/29/2007,2007,Aug,42.2166700000001,-69.1166699999999,"Whale, humpback",Advanced Decomposition,EZ,Unknown
10/04/2007,2007,Oct,37.7785000000001,-75.44093,"Whale, humpback",Moderate Decomposition,EZ,Unknown
10/09/2007,2007,Oct,41.6783300000001,-67.1283299999999,"Whale, humpback",Advanced Decomposition,EZ,Unknown
10/21/2007,2007,Oct,38.1752222200001,-75.16202778,"Whale, humpback",Advanced Decomposition,MD,Worcester
10/21/2007,2007,Oct,38.1752222200001,-75.16202778,"Whale, humpback",Advanced Decomposition,MD,Worcester
11/18/2007,2007,Nov,39.9800000000001,-68.63217,"Whale, humpback",Moderate Decomposition,EZ,Unknown
11/18/2007,2007,Nov,39.9800000000001,-68.63217,"Whale, humpback",Moderate Decomposition,EZ,Unknown
01/17/2008,2008,Jan,40.39,-70.445,"Whale, humpback",Advanced Decomposition,EZ,Unknown
02/06/2008,2008,Feb,38.2216700000001,-73.68,"Whale, humpback",Advanced Decomposition,MD,Eez
02/10/2008,2008,Feb,40.6016700000001,-70.7416699999999,"Whale, humpback",Condition Unknown,NY,Eez
06/09/2008,2008,Jun,41.7533300000001,-66.80333,"Whale, humpback",Moderate Decomposition,EZ,Unknown
06/13/2008,2008,Jun,40.7500000000001,-68.8666699999999,"Whale, humpback",Advanced Decomposition,MA,Eez
06/13/2008,2008,Jun,43.95,-67.6833,"Whale, humpback",Moderate Decomposition,ME,Hancock
06/30/2008,2008,Jun,41.7275000000001,-66.78889,"Whale, humpback",Moderate Decomposition,MA,Floater
07/11/2008,2008,Jul,41.58333,-66.8,"Whale, humpback",Moderate Decomposition,MA,Eez
07/11/2008,2008,Jul,41.6833300000001,-66.71667,"Whale, humpback",Advanced Decomposition,MA,Eez
07/14/2008,2008,Jul,44.6000000000001,-67.4165999999999,"Whale, humpback",Advanced Decomposition,ME,Washington
09/08/2008,2008,Sep,44.4881,-67.6670999999999,"Whale, humpback",Moderate Decomposition,ME,Washington
09/16/2008,2008,Sep,42.0150000000001,-70.28833,"Whale, humpback",Moderate Decomposition,MA,Eez
10/08/2008,2008,Oct,41.2600000000001,-68.3516,"Whale, humpback",Moderate Decomposition,MA,Eez
10/24/2008,2008,Oct,41.81,-69.426,"Whale, humpback",Moderate Decomposition,MA,Eez
