Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,F14,x,y
6/21/2017,2017,Jun,41.624086,-69.965721,"Whale, humpback",Male,Fresh Dead,Yes,USA,MA,Barnstable,IFAW17-274Mn,,-69.96572099999997,41.624086000000034
7/6/2017,2017,Jul,41.12505,-70.561933,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,EEZ,NMFSGAR070617Mn,,-70.56193299999995,41.125050000000044
7/27/2017,2017,Jul,41.765317,-69.85965,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Barnstable,IFAW17-317Mn,,-69.85964999999999,41.76531700000004
8/8/2017,2017,Aug,41.244043,-70.060549,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA,Nantucket,NMFSGAR080817Mn,,-70.06054899999998,41.24404300000003
8/17/2017,2017,Aug,41.6055556,-67.6105555555555,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MA ,EEZ,NMFSGAR081717Mn3,,-67.61055555599995,41.60555560000006
9/5/2017,2017,Sep,41.1519889,-71.5522528,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,RI,Washington,SYMn1755,,-71.55225279999996,41.15198890000005
10/1/2017,2017,Oct,41.1728,-71.5543,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,RI,Washington,SXMn1758,,-71.55429999999996,41.17280000000005
10/19/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Female,Advanced Decomposition,No,USA,NY,Suffolk,AMCS117Mn2017,,-72.16659999999996,41.189500000000066
10/20/2017,2017,Oct,40.64,-72.47,"Whale, humpback",Unk,Fresh Dead,No,USA,NY,EEZ,NMFSGAR102017Mn,,-72.46999999999997,40.64000000000004
10/31/2017,2017,Oct,41.1895,-72.1666,"Whale, humpback",Unk,Mummified/Skeletal Remains,No,USA,NY,Suffolk,AMCS121Mn2017,,-72.16659999999996,41.189500000000066
11/26/2017,2017,Nov,36.91309,-76.080326,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,VA,Virginia Beach,VAQS20171090,,-76.08032599999996,36.91309000000007
12/19/2017,2017,Dec,40.6811111,-69.9430555555555,"Whale, humpback",Unk,Moderate Decomposition,No,USA,MA,EEZ,NMFSGAR121917Mn,,-69.94305555599993,40.68111110000007
